S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
44,1950,"Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III","Aerosols, non-flammable, Aerosol",2.2,"6.1,8",,Non-flamm. gas & Toxic & Corrosive,,,,,,,,FALSE,FALSE
45,1950,"Aerosols, non-flammable, containing toxic gas ","Aerosols, non-flammable, toxic gas, Aerosol ",2.3,,,,,,,,,,,FALSE,FALSE
46,1950,"Aerosols, non-flammable, oxidizing ","Aerosols, non-flammable, oxidizing, Aerosol",2.2,5.1,,Non-flamm. gas & Oxidizer,,,,,,,,FALSE,FALSE
47,0331,"Agent, blasting type B † ",Agent blasting,1.5D,,,,,,,,,,,FALSE,FALSE
48,0332,"Agent, blasting type E † ",Agent blasting,1.5D,,,,,,,,,,,FALSE,FALSE
49,0503 ,Air bag inflators † ,"Air bag, inflators",1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
50,3268 ,Air bag inflators † ,"Air bag, inflators",9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
51,0503 ,Air bag modules † ,"Air bag, modules",1.4G ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
52,3268 ,Air bag modules † ,"Air bag, modules",9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
53,1002 ,"Air, compressed ",compressed ,2.2,,,Non-flamm. gas,122,,,,,,,FALSE,FALSE
54,3165 ,Aircraft hydraulic power unit fuel tank (containing a mixture of anhydrous hydrazine and methy hydrazine) (M86 fuel),"hydraulic, power unit, fuel",3,"6.1,8",,Flamm. liquid  & Toxic & Corrosive,131,,,,,,,FALSE,FALSE
55,1003 ,"Air, refrigerated liquid ",refrigerated liquid ,2.2,5.1,,Non-flamm. gas & Oxidizer & Cryogenic liquid,122,,,,,,,FALSE,FALSE
56,3274 ,"Alcoholates solution, n.o.s.  in alcohol","Alcoholates, alcohol",3,8,,Flamm. liquid & Corrosive,132,,,,,,,FALSE,FALSE
57,3065 ,"Alcoholic beverages (containing 70% or less but more than 24% of alcohol by volume, in receptacles, each having capacities of more than 5 Litres)","Alcoholic beverages, Alcohol",3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
58,3065 ,Alcoholic beverages (containing more than 70% alcohol by volume),"Alcoholic beverages, Alcohol",3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
59,1987 ,"Alcohols, n.o.s.","Alcohols, alchohol",3,,,Flamm. liquid,127,,,,,,,FALSE,FALSE
60,1986 ,"Alcohols, flammable, toxic, n.o.s. ","Alcohols, flammable, toxic",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
61,1989 ,"Aldehydes, n.o.s.",Aldehydes,3,,,Flamm. liquid,129P,,,,,,,FALSE,FALSE
62,1988,"Aldehydes, flammable, toxic, n.o.s. ","Aldehydes, flammable, toxic",3,6.1,,Flamm. liquid,131P,,,,,,,FALSE,FALSE
63,2839 ,Aldol ,Aldol,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
64,3206 ,"Alkali metal alcoholates, self-heating, corrosive, n.o.s.","Alkali metal alcoholates, self-heating, corrosive, alcoholates, Alkali",4.2,8,,Spont. comb.& Corrosive,136,,,,,,,FALSE,FALSE
65,1421 ,"Alkali metal alloy, liquid, n.o.s. ","Alkali metal alloy, Alkali",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
66,1389 ,"Alkali metal amalgam, liquid","Alkali metal amalgam, Alkali, amalgam",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
67,3401 ,"Alkali metal amalgam, solid ","Alkali metal amalgam, Alkali, amalgam",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
68,1390 ,Alkali metal amides ,"Alkali metal amides, Alkali, amides ",4.3,,,Dang. when wet,139,,,,,,,FALSE,FALSE
69,1391 ,Alkali metal dispersion ,"Alkali metal dispersion, Alkali",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
70,3482 ,"Alkali metal dispersion, flammable ","Alkali metal dispersion, Alkali, flammable ",4.3,3,,Dang. when wet & Flamm. liquid,138,,,,,,,FALSE,FALSE
71,3205 ,"Alkaline earth metal alcoholates, n.o.s. ","Alkaline earth metal alcoholates, Alkaline, alcoholates",4.2,,,Spont. comb.,135,,,,,,,FALSE,FALSE
72,1393 ,"Alkaline earth metal alloy, n.o.s. ","Alkaline earth metal alloy, Alkaline",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
73,1392 ,"Alkaline earth metal amalgam, liquid ","Alkaline earth metal amalgam, Alkaline, amalgam",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
74,3402 ,"Alkaline earth metal amalgam, solid ","Alkaline earth metal amalgam, Alkaline, amalgam",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
75,1391 ,Alkaline earth metal dispersion ,"Alkaline earth metal dispersion, Alkaline",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
76,3482,"Alkaline earth metal dispersion, flammable ","Alkaline earth metal dispersion, Alkaline, flammable ",4.3,3,,Dang. when wet,138,,,,,,,FALSE,FALSE
77,3140 ,"Alkaloid salts, liquid, n.o.s.","Alkaloid salts, Alkaloid, ",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
78,1544 ,"Alkaloid salts, solid, n.o.s. ","Alkaloid salts, Alkaloid, ",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
79,3140 ,"Alkaloids, liquid, n.o.s. ","Alkaloids liquid, Alkaloids",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
80,1544 ,"Alkaloids, solid, n.o.s. ","Alkaloids solid, Alkaloids",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
