S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
432,2880 ,"Calcium hypochlorite, hydrated (with  5.5% but  16% water)","Calcium hypochlorite, Calcium, hypochlorite",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
433,3487 ,"Calcium hypochlorite, hydrated, corrosive (with  5.5% but  16% water)","Calcium hypochlorite, corrosive, Calcium, hypochlorite",5.1,8,,Oxidizer & Corrosive,140,,,,,,,FALSE,FALSE
434,2880 ,"Calcium hypochlorite, hydrated mixture (with  5.5% but  16% water)","Calcium hypochlorite, hydrated mixture, Calcium, hypochlorite",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
435,3487 ,"Calcium hypochlorite, hydrated mixture, corrosive (with  5.5% but  16% water )","Calcium hypochlorite, hydrated mixture, corrosive, Calcium, hypochlorite",5.1,8,,Oxidizer & Corrosive,140,,,,,,,FALSE,FALSE
436,2208 ,"Calcium hypochlorite mixture, dry (with > 10% but  39% available chlorine)","Calcium hypochlorite mixture, Calcium, hypochlorite, mixture",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
437,1748,"Calcium hypochlorite mixture, dry with > 39% available chlorine (8.8% available oxygen)","Calcium hypochlorite mixture, Calcium, hypochlorite, mixture",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
438,3486,"Calcium hypochlorite mixture, dry, corrosive with > 10% but  39% available chlorine","Calcium hypochlorite mixture, corrosive, Calcium, hypochlorite, mixture",5.1,8,,Oxidizer & Corrosive,140,,,,,,,FALSE,FALSE
439,3485,"Calcium hypochlorite mixture, dry, corrosive with > 39% available chlorine (8.8% available oxygen)","Calcium hypochlorite mixture, corrosive, Calcium, hypochlorite, mixture",5.1,8,,Oxidizer & Corrosive,140,,,,,,,FALSE,FALSE
440,2844,Calcium manganese silicon,"Calcium manganese silicon, Calcium, manganese, silicon",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
441,1454,Calcium nitrate,"Calcium nitrate, Calcium, nitrate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
442,1910,Calcium oxide,"Calcium oxide, Calcium, oxide",8,,,Corrosive,157,,,,,,,FALSE,FALSE
443,1455,Calcium perchlorate,"Calcium perchlorate, Calcium, perchlorate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
444,1456,Calcium permanganate,"Calcium permanganate, Calcium, permanganate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
445,1457,Calcium peroxide,"Calcium peroxide, Calcium, peroxide",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
446,1360,Calcium phosphide,"Calcium phosphide, Calcium, phosphide",4.3,6.1,,Dang. when wet & Toxic,139,,,,,,,FALSE,FALSE
447,1855,"Calcium, pyrophoric","Calcium, pyrophoric",4.2,,,,135,,,,,,,FALSE,FALSE
448,1313,Calcium resinate,"Calcium resinate, Calcium, resinate",4.1,,,Flamm. solid,133,,,,,,,FALSE,FALSE
449,1314,"Calcium resinate, fused","Calcium resinate, fused, Calcium, resinate",4.1,,,Flamm. solid,133,,,,,,,FALSE,FALSE
450,1405,Calcium silicide,"Calcium silicide, Calcium, silicide",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
451,2717,"Camphor
 synthetic",Camphor,4.1,,,Flamm. solid,133,,,,,,,FALSE,FALSE
452,1130,Camphor oil,"Camphor oil, Camphor",3,,,Flamm. liquid,128,,,,,,,FALSE,FALSE
453,3499,"Capacitor
 electric double layer (with an energy storage capacity greater than 0.3 Wh)",Capacitor,9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
454,2829,Caproic acid,"Caproic acid, Caproic, acid",8,,,Corrosive,153,,,,,,,FALSE,FALSE
455,2758,"Carbamate pesticide, liquid, flammable, toxic 
 flash point less than 23°C","Carbamate pesticide, flammable, toxic , Carbamate, pesticide",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
456,2992,"Carbamate pesticide, liquid, toxic ","Carbamate pesticide, toxic, Carbamate, pesticide",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
457,2991,"Carbamate pesticide, liquid, toxic, flammable, 
 flash point 23°C or more","Carbamate pesticide, toxic, flammable, Carbamate, pesticide",6.1,3,,Toxic & Flamm. liquid,131,,,,,,,FALSE,FALSE
458,2757,"Carbamate pesticide, solid, toxic ","Carbamate pesticide, toxic , Carbamate, pesticide",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
459,1361,"Carbon
 animal or vegetable origin",Carbon,4.2,,,,133,,,,,,,FALSE,FALSE
460,1362,"Carbon, activated","Carbon, activated",4.2,,,Spont. comb.,133,,,,,,,FALSE,FALSE
461,1013,Carbon dioxide †,"Carbon dioxide , Carbon, dioxide",2.2,,,Non-flamm. gas,120,,,,,,,FALSE,FALSE
462,2187,"Carbon dioxide, refrigerated liquid","Carbon dioxide, refrigerated liquid, Carbon, dioxide, refrigerated",2.2,,,Non-flamm. gas & Cryogenic liquid,120,,,,,,,FALSE,FALSE
463,1845,"Carbon dioxide, solid †","Carbon dioxide, Carbon, dioxide",9,,,Miscellaneous,120,,,,,,,FALSE,FALSE
464,1131,Carbon disulphide,"Carbon disulphide, Carbon, disulphide",3,6.1,,,131,,,,,,,FALSE,FALSE
465,1016,"Carbon monoxide, compressed","Carbon monoxide, compressed, Carbon, monoxide",2.3,2.1,,,119,,,,,,,FALSE,FALSE
466,2516,Carbon tetrabromide,"Carbon tetrabromide, Carbon, tetrabromide",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
467,1846,Carbon tetrachloride,"Carbon tetrachloride, Carbon, tetrachloride",6.1,,,Toxic,151,,,,,,,FALSE,FALSE
468,2417,Carbonyl fluoride,"Carbonyl fluoride, Carbonyl, fluoride",2.3,8,,,125,,,,,,,FALSE,FALSE
469,2204 ,Carbonyl sulphide ,"Carbonyl sulphide, Carbonyl, sulphide",2.3,2.1,,,119,,,,,,,FALSE,FALSE
470,0049 ,"Cartridges, flash † ",Cartridges,1.1G,,,,,,,,,,,FALSE,FALSE
471,0050 ,"Cartridges, flash † ",Cartridges,1.3G ,,,Explosive,,,,,,,,FALSE,FALSE
472,0014 ,"Cartridges for tools, blank † ","Cartridges for tools, Cartridges",1.4S ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
473,0006 ,"Cartridges for weapons † (with bursting charge)","Cartridges for weapons, Cartridges, weapons",1.1E,,,,,,,,,,,FALSE,FALSE
474,0005 ,Cartridges for weapons † (with bursting charge),"Cartridges for weapons, Cartridges, weapons",1.1F,,,,,,,,,,,FALSE,FALSE
475,0321,Cartridges for weapons † (with bursting charge),"Cartridges for weapons, Cartridges, weapons",1.2E,,,,,,,,,,,FALSE,FALSE
476,0007,Cartridges for weapons † (with bursting charge),"Cartridges for weapons, Cartridges, weapons",1.2F,,,,,,,,,,,FALSE,FALSE
477,0412,Cartridges for weapons † (with bursting charge),"Cartridges for weapons, Cartridges, weapons",1.4E ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
478,0348,Cartridges for weapons † (with bursting charge),"Cartridges for weapons, Cartridges, weapons",1.4F,,,,,,,,,,,FALSE,FALSE
479,0326 ,"Cartridges for weapons, blank † ","Cartridges for weapons, Cartridges, weapons",1.1C,,,,,,,,,,,FALSE,FALSE
480,0413,"Cartridges for weapons, blank † ","Cartridges for weapons, Cartridges, weapons",1.2C,,,,,,,,,,,FALSE,FALSE
481,0327,"Cartridges for weapons, blank † ","Cartridges for weapons, Cartridges, weapons",1.3C,,,,,,,,,,,FALSE,FALSE
482,0338,"Cartridges for weapons, blank † ","Cartridges for weapons, Cartridges, weapons",1.4C ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
483,0014,"Cartridges for weapons, blank † ","Cartridges for weapons, Cartridges, weapons",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
484,0328 ,"Cartridges for weapons, inert projectile † ","Cartridges for weapons, inert projectile, Cartridges, weapons",1.2C,,,,,,,,,,,FALSE,FALSE
485,0417,"Cartridges for weapons, inert projectile † ","Cartridges for weapons, inert projectile, Cartridges, weapons",1.3C,,,,,,,,,,,FALSE,FALSE
486,0339,"Cartridges for weapons, inert projectile † ","Cartridges for weapons, inert projectile, Cartridges, weapons",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
487,0012,"Cartridges for weapons, inert projectile † ","Cartridges for weapons, inert projectile, Cartridges, weapons",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
488,0277 ,"Cartridges, oil well † ","Cartridges, oil well, Cartridges",1.3C,,,,,,,,,,,FALSE,FALSE
489,0278,"Cartridges, oil well † ","Cartridges, oil well, Cartridges",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
490,0381 ,"Cartridges, power device † ","power device, Cartridges",1.2C,,,,,,,,,,,FALSE,FALSE
491,0275 ,"Cartridges, power device † ","power device, Cartridges",1.3C ,,,Explosive,,,,,,,,FALSE,FALSE
492,0276,"Cartridges, power device † ","power device, Cartridges",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
493,0323 ,"Cartridges, power device † ","power device, Cartridges",1.4S ,,,Explosive 1.4,,,,,,,,FALSE,FALSE
494,0054 ,"Cartridges, signal † ","Cartridges, signal",1.3G ,,,Explosive,,,,,,,,FALSE,FALSE
495,0312,"Cartridges, signal † ","Cartridges, signal",1.4G,,,Explosive 1.4,,,,,,,,FALSE,FALSE
496,0405,"Cartridges, signal † ","Cartridges, signal",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
497,0417 ,"Cartridges, small arms † ","Cartridges, small arms",1.3C,,,,,,,,,,,FALSE,FALSE
498,0339,"Cartridges, small arms † ","Cartridges, small arms",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
499,0012,"Cartridges, small arms † ","Cartridges, small arms",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
500,0327 ,"Cartridges, small arms, blank †","Cartridges, small arms",1.3C,,,,,,,,,,,FALSE,FALSE
501,0338,"Cartridges, small arms, blank †","Cartridges, small arms",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
502,0014,"Cartridges, small arms, blank †","Cartridges, small arms",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
503,0379 ,"Cases, cartridge, empty, with primer †","Cases, cartridge,  primer",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
504,0055,"Cases, cartridge, empty, with primer †","Cases, cartridge,  primer",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
505,0447 ,"Cases, combustible, empty, without primer †","Cases, combustible, primer",1.3C,,,,,,,,,,,FALSE,FALSE
506,0446,"Cases, combustible, empty, without primer †","Cases, combustible, primer",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
507,2969 ,Castor beans † ,"Castor beans , Castor",9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
508,2969 ,Castor flake †,"Castor flake, Castor",9,,,Miscellaneous,,,,,,,,FALSE,FALSE
509,2969 ,Castor meal †,"Castor meal, Castor",9,,,Miscellaneous,,,,,,,,FALSE,FALSE
510,2969 ,Castor pomace †,"Castor pomace, Castor, pomace",9,,,Miscellaneous,,,,,,,,FALSE,FALSE
511,1719 ,"Caustic alkali liquid, n.o.s","Caustic alkali liquid, Caustic, alkali",8,,,Corrosive,154,,,,,,,FALSE,FALSE
512,3292,"Cells, containing sodium †","Cells, sodium",4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
513,2000,"Celluloid
 in blocks, rods, rolls, sheets, tubes, etc. (except scrap)",Celluloid,4.1,,,Flamm. solid,133,,,,,,,FALSE,FALSE
514,2002,"Celluloid, scrap",Celluloid,4.2,,,,135,,,,,,,FALSE,FALSE
515,1333,"Cerium
 slabs, ingots or rods",Cerium,4.1,,,Flamm. solid,170,,,,,,,FALSE,FALSE
516,3078,"Cerium
 turnings or gritty powder",Cerium,4.3,,,Dang. when wet,138,,,,,,,FALSE,FALSE
517,0457,"Charges, bursting, plastics bonded †","Charges, bursting, plastics bonded",1.1D,,,,,,,,,,,FALSE,FALSE
518,0458,"Charges, bursting, plastics bonded †","Charges, bursting, plastics bonded",1.2D,,,,,,,,,,,FALSE,FALSE
519,0459,"Charges, bursting, plastics bonded †","Charges, bursting, plastics bonded",1.4D,,,Explosive 1.4,,,,,,,,FALSE,FALSE
520,0460,"Charges, bursting, plastics bonded †","Charges, bursting, plastics bonded",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
521,0048,"Charges, demolition †","Charges, demolition",1.1D,,,,,,,,,,,FALSE,FALSE
522,0056,"Charges, depth †",Charges,1.1D,,,,,,,,,,,FALSE,FALSE
523,0442,"Charges, explosive, commercial †
 without detonator","Charges, explosive, commercial",1.1D,,,,,,,,,,,FALSE,FALSE
524,0443,"Charges, explosive, commercial †
 without detonator","Charges, explosive",1.2D,,,,,,,,,,,FALSE,FALSE
525,0444,"Charges, explosive, commercial †
 without detonator","Charges, explosive",1.4D,,,Explosive 1.4,,,,,,,,FALSE,FALSE
526,0445,"Charges, explosive, commercial †
 without detonator","Charges, explosive",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
527,0271,"Charges, propelling †","Charges, propelling",1.1C,,,,,,,,,,,FALSE,FALSE
528,0415,"Charges, propelling †","Charges, propelling",1.2C,,,,,,,,,,,FALSE,FALSE
529,0272,"Charges, propelling †","Charges, propelling",1.3C,,,,,,,,,,,FALSE,FALSE
530,0491,"Charges, propelling †","Charges, propelling",1.4C,,,Explosive 1.4,,,,,,,,FALSE,FALSE
531,0279,"Charges, propelling, for cannon †","Charges, propelling, cannon",1.1C,,,,,,,,,,,FALSE,FALSE
532,0414,"Charges, propelling, for cannon †","Charges, propelling, cannon",1.2C,,,,,,,,,,,FALSE,FALSE
533,0242,"Charges, propelling, for cannon †","Charges, propelling, cannon",1.3C,,,,,,,,,,,FALSE,FALSE
534,0059,"Charges, shaped † without detonator","Charges, detonator",1.1D,,,,,,,,,,,FALSE,FALSE
535,0439,"Charges, shaped † without detonator","Charges, detonator",1.2D,,,,,,,,,,,FALSE,FALSE
536,0440,"Charges, shaped † without detonator","Charges, detonator",1.4D,,,Explosive 1.4,,,,,,,,FALSE,FALSE
537,0441,"Charges, shaped † without detonator","Charges, detonator",1.4S,,,Explosive 1.4,,,,,,,,FALSE,FALSE
538,0288,"Charges, shaped, flexible, linear †",Charges,1.1D,,,,,,,,,,,FALSE,FALSE
539,0237,"Charges, shaped, flexible, linear †",Charges,1.4D,,,Explosive 1.4,,,,,,,,FALSE,FALSE
540,0060,"Charges, supplementary, explosive †","Charges, explosive",1.1D,,,,,,,,,,,FALSE,FALSE
541,3316,Chemical kit †,"Chemical kit, Chemical",9,,,Miscellaneous,171,,,,,,,FALSE,FALSE
542,3315,"Chemical sample, toxic †","Chemical sample, toxic, Chemical",6.1,,,,151,,,,,,,FALSE,FALSE
543,3500,"Chemical under pressure, n.o.s. ","Chemical under pressure, Chemical, pressure",2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
544,3503,"Chemical under pressure, corrosive, n.o.s. ","Chemical under pressure, corrosive, Chemical, pressure",2.2,8,,Non-flamm. gas & Corrosive,125,,,,,,,FALSE,FALSE
545,3501,"Chemical under pressure, flammable, n.o.s. ","Chemical under pressure, flammable, Chemical, pressure",2.1,,,Flamm. gas,115,,,,,,,FALSE,FALSE
546,3505,"Chemical under pressure, flammable, corrosive, n.o.s. ","Chemical under pressure, flammable, corrosive, Chemical, pressure",2.1,8,,Flamm. gas & Corrosive,118,,,,,,,FALSE,FALSE
547,3504,"Chemical under pressure, flammable, toxic, n.o.s. ","Chemical under pressure, flammable, toxic, Chemical, pressure",2.1,6.1,,Flamm. gas & Toxic,119,,,,,,,FALSE,FALSE
548,3502,"Chemical under pressure, toxic, n.o.s. ","Chemical under pressure, toxic, Chemical, pressure",2.2,6.1,,Non-flamm. gas & Toxic,123,,,,,,,FALSE,FALSE
549,2075,"Chloral, anhydrous, stabilized","Chloral, anhydrous",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
550,1458,Chlorate and borate mixture,"Chlorate and borate mixture, Chlorate, borate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
551,1459,"Chlorate and magnesium chloride mixture, solid","Chlorate and magnesium chloride mixture, Chlorate, magnesium",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
552,3407,Chlorate and magnesium chloride mixture solution,"Chlorate and magnesium chloride mixture solution, Chlorate, magnesium",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
553,1461,"Chlorates, inorganic, n.o.s. ","Chlorates inorganic, Chlorates",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
554,3210,"Chlorates, inorganic, aqueous solution, n.o.s. ","Chlorates inorganic, aqueous solution, aqueous",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
555,2626,"Chloric acid, aqueous solution
 with 10% or less chloric acid","Chloric acid, aqueous solution, Chloric, acid, aqueous",5.1,,,,140,,,,,,,FALSE,FALSE
556,1017,Chlorine,Chlorine,2.3,"5.1,8",,,124,,,,,,,FALSE,FALSE
557,2548,Chlorine pentafluoride,"Chlorine pentafluoride, Chlorine, pentafluoride",2.3,"5.1,8",,,124,,,,,,,FALSE,FALSE
558,1749,Chlorine trifluoride,"Chlorine trifluoride, Chlorine, trifluoride",2.3,"5.1,8",,,124,,,,,,,FALSE,FALSE
559,1462,"Chlorites, inorganic, n.o.s. ",Chlorites inorganic,5.1,,,Oxidizer,143,,,,,,,FALSE,FALSE
560,1908,Chlorite solution,"Chlorite solution, Chlorite",8,,,Corrosive,154,,,,,,,FALSE,FALSE
561,3250,"Chloroacetic acid, molten","Chloroacetic acid, Chloroacetic, acid",6.1,8,,,153,,,,,,,FALSE,FALSE
562,1751,"Chloroacetic acid, solid","Chloroacetic acid, Chloroacetic, acid",6.1,8,,Toxic & Corrosive,153,,,,,,,FALSE,FALSE
563,1750,Chloroacetic acid solution,"Chloroacetic acid, Chloroacetic, acid",6.1,8,,Toxic & Corrosive,153,,,,,,,FALSE,FALSE
564,1695,"Chloroacetone, stabilized",Chloroacetone,6.1,"3,8",,,131,,,,,,,FALSE,FALSE
565,2668,Chloroacetonitrile,Chloroacetonitrile,6.1,3,,,131,,,,,,,FALSE,FALSE
566,3416,"Chloroacetophenone, liquid",Chloroacetophenone,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
567,1697,"Chloroacetophenone, solid",Chloroacetophenone,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
568,1752,Chloroacetyl chloride,"Chloroacetyl chloride, Chloroacetyl, chloride",6.1,8,,,156,,,,,,,FALSE,FALSE
569,2019,"Chloroanilines, liquid",Chloroanilines,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
570,2018,"Chloroanilines, solid",Chloroanilines,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
571,2233,Chloroanisidines,Chloroanisidines,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
572,1134,Chlorobenzene,Chlorobenzene,3,,,Flamm. liquid,130,,,,,,,FALSE,FALSE
573,2234,Chlorobenzotrifluorides,Chlorobenzotrifluorides,3,,,Flamm. liquid,130,,,,,,,FALSE,FALSE
574,2235,"Chlorobenzyl chlorides, liquid","Chlorobenzyl chlorides, Chlorobenzyl, chlorides",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
575,3427,"Chlorobenzyl chlorides, solid","Chlorobenzyl chlorides, Chlorobenzyl, chlorides",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
576,1127,Chlorobutanes,Chlorobutanes,3,,,Flamm. liquid,130,,,,,,,FALSE,FALSE
577,3437,"Chlorocresols, solid",Chlorocresols,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
578,2669,Chlorocresols solution,Chlorocresols,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
579,1974,Chlorodifluorobromomethane,Chlorodifluorobromomethane,2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
580,2517,"1-Chloro-1,1-difluoroethane","1-Chloro-1, 1-difluoroethane",2.1,,,Flamm. gas,115,,,,,,,FALSE,FALSE
581,1018,Chlorodifluoromethane,Chlorodifluoromethane,2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
582,1973,"Chlorodifluoromethane and chloropentafluoroethane mixture (with fixed boiling point, with approximately 49% chlorodifluoromethane)","Chlorodifluoromethane and chloropentafluoroethane mixture , Chlorodifluoromethane, chloropentafluoroethane",2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
583,1577,"Chlorodinitrobenzenes, liquid",Chlorodinitrobenzenes,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
584,3441,"Chlorodinitrobenzenes, solid",Chlorodinitrobenzenes,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
585,2232,2-Chloroethanal,2-Chloroethanal,6.1,,,,153,,,,,,,FALSE,FALSE
586,1888,Chloroform,Chloroform,6.1,,,Toxic,151,,,,,,,FALSE,FALSE
587,3277,"Chloroformates, toxic, corrosive, n.o.s. ","Chloroformates, toxic, corrosive",6.1,8,,Toxic & Corrosive,154,,,,,,,FALSE,FALSE
588,2742,"Chloroformates, toxic, corrosive, flammable, n.o.s. ","Chloroformates, toxic, corrosive, flammable",6.1,"3,8",,Toxic & Flamm. liquid & Corrosive,155,,,,,,,FALSE,FALSE
589,2745,Chloromethyl chloroformate,Chloromethyl chloroformate,6.1,8,,Toxic & Corrosive,157,,,,,,,FALSE,FALSE
590,2354,Chloromethyl ethyl ether,"Chloromethyl ethyl ether, Chloromethyl, ethyl, ether",3,6.1,,Flamm. liquid & Toxic,131,,,,,,,FALSE,FALSE
591,2236,"3-Chloro-4-methylphenyl isocyanate, liquid","3-Chloro-4-methylphenyl isocyanate, isocyanate",6.1,,,Toxic,156,,,,,,,FALSE,FALSE
592,3428,"3-Chloro-4-methylphenyl isocyanate, solid","3-Chloro-4-methylphenyl isocyanate, 3-Chloro-4-methylphenyl, isocyanate",6.1,,,Toxic,156,,,,,,,FALSE,FALSE
593,2237,Chloronitroanilines,Chloronitroanilines,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
594,3409,"Chloronitrobenzenes, liquid",Chloronitrobenzenes,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
595,1578,"Chloronitrobenzenes, solid",Chloronitrobenzenes,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
596,2433,"Chloronitrotoluenes, liquid",Chloronitrotoluenes,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
597,3457,"Chloronitrotoluenes, solid",Chloronitrotoluenes,6.1,,,Toxic,152,,,,,,,FALSE,FALSE
598,1020,Chloropentafluoroethane,Chloropentafluoroethane,2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
599,2904,"Chlorophenolates, liquid",Chlorophenolates,8,,,Corrosive,154,,,,,,,FALSE,FALSE
600,2905,"Chlorophenolates, solid",Chlorophenolates,8,,,Corrosive,154,,,,,,,FALSE,FALSE
601,2021,"Chlorophenols, liquid",Chlorophenols,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
602,2020,"Chlorophenols, solid",Chlorophenols,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
603,1753,Chlorophenyltrichlorosilane,Chlorophenyltrichlorosilane,8,,,Corrosive,156,,,,,,,FALSE,FALSE
604,1580,Chloropicrin,Chloropicrin,6.1,,,,154,,,,,,,FALSE,FALSE
605,1581,"Chloropicrin and methyl bromide mixture, with more than 2% chloropicrin","Chloropicrin and methyl bromide mixture, Chloropicrin, methyl",2.3,,,,123,,,,,,,FALSE,FALSE
606,1582,Chloropicrin and methyl chloride mixture,"Chloropicrin and methyl chloride mixture, Chloropicrin, methyl",2.3,,,,119,,,,,,,FALSE,FALSE
607,1583,"Chloropicrin mixture, n.o.s. ","Chloropicrin mixture, Chloropicrin",6.1,,,,154,,,,,,,FALSE,FALSE
608,2507,"Chloroplatinic acid, solid","Chloroplatinic acid, Chloroplatinic",8,,,Corrosive,154,,,,,,,FALSE,FALSE
609,1991,"Chloroprene, stabilized",Chloroprene,3,6.1,,Flamm. liquid & Toxic,131P,,,,,,,FALSE,FALSE
610,1278,1-Chloropropane,"1-Chloropropane, Chloropropane",3,,,Flamm. liquid,129,,,,,,,FALSE,FALSE
611,2356,2-Chloropropane,"2-Chloropropane, Chloropropane",3,,,Flamm. liquid,129,,,,,,,FALSE,FALSE
612,2849,3-Chloropropanol-1,"3-Chloropropanol-1, Chloropropanol",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
613,2456,2-Chloropropene,"2-Chloropropene, Chloropropene",3,,,Flamm. liquid,130P,,,,,,,FALSE,FALSE
614,2511,2-Chloropropionic acid,"2-Chloropropionic acid, 2-Chloropropionic Chloropropionic",8,,,Corrosive,153,,,,,,,FALSE,FALSE
615,2822,2-Chloropyridine,"2-Chloropyridine, Chloropryridine",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
616,2987,"Chlorosilanes, corrosive, n.o.s.","Chlorosilanes, corrosive",8,,,Corrosive,156,,,,,,,FALSE,FALSE
617,2986,"Chlorosilanes, corrosive, flammable, n.o.s.","Chlorosilanes, corrosive, flammable",8,3,,Corrosive & Flamm. liquid,155,,,,,,,FALSE,FALSE
618,2985,"Chlorosilanes, flammable, corrosive, n.o.s.","Chlorosilanes, flammable, corrosive",3,8,,Flamm. liquid & Corrosive,155,,,,,,,FALSE,FALSE
619,3361,"Chlorosilanes, toxic, corrosive, n.o.s. ","Chlorosilanes, toxic, corrosive",6.1,8,,Toxic & Corrosive,156,,,,,,,FALSE,FALSE
620,3362,"Chlorosilanes, toxic, corrosive, flammable, n.o.s. ","Chlorosilanes, toxic, corrosive, flammable",6.1,"3,8",,Toxic & Flamm. liquid & Corrosive,155,,,,,,,FALSE,FALSE
621,2988,"Chlorosilanes, water-reactive, flammable, corrosive, n.o.s.","Chlorosilanes, water-reactive, flammable, corrosive",4.3,"3,8",,Dang. when wet & Flamm. liquid & Corrosive,139,,,,,,,FALSE,FALSE
622,1754,Chlorosulphonic acid (with or without sulphur trioxide),"Chlorosulphonic acid, Chlorosulphonic, acid",8,,,,137,,,,,,,FALSE,FALSE
623,1021,"1-Chloro-1,2,2,2-tetrafluoroethane","1-Chloro-1, 2, 2, 2-tetrafluoroethane, Chloro, tetrafluoroethane",2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
624,2238,Chlorotoluenes,Chlorotoluenes,3,,,Flamm. liquid,129,,,,,,,FALSE,FALSE
625,1579,"4-Chloro-o-toluidine hydrochloride, solid","4-Chloro-o-toluidine hydrochloride, hydrochloride",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
626,3410,4-Chloro-o-toluidine hydrochloride solution,"4-Chloro-o-toluidine hydrochloride, hydrochloride",6.1,,,Toxic,153,,,,,,,FALSE,FALSE
627,3429,"Chlorotoluidines, liquid",Chlorotoluidines,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
628,2239,"Chlorotoluidines, solid",Chlorotoluidines,6.1,,,Toxic,153,,,,,,,FALSE,FALSE
629,1983,"1-Chloro-2,2,2-trifluoroethane","1-Chloro-2, 2, 2-trifluoroethane, chloro, trifluorethane",2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
630,1022,Chlorotrifluoromethane,Chlorotrifluoromethane,2.2,,,Non-flamm. gas,126,,,,,,,FALSE,FALSE
